Statistical area 2 code (2018 areas),Statistical area 2 description,"2006 Census, work and labour force status,(1)(8)
for the census usually resident population count aged 15 years and over(7)",,,,,,,"2013 Census, work and labour force status,(1)(8)
for the census usually resident population count aged 15 years and over(7)",,,,,,,"2018 Census, work and labour force status,(1)(8)
for the census usually resident population count aged 15 years and over(7)",,,,,,,"2006 Census, status in employment,(2)(9)
for the employed census usually resident population count aged 15 years and over(7)",,,,,,,"2013 Census, status in employment,(2)(9)
for the employed census usually resident population count aged 15 years and over(7)",,,,,,,"2018 Census, status in employment,(2)(9)
for the employed census usually resident population count aged 15 years and over(7)",,,,,,,"2006 Census, occupation(3)(6)(10)(11) by usual residence address,
for the employed census usually resident population count aged 15 years and over(7)",,,,,,,,,,,"2013 Census, occupation(3)(6)(10)(11) by usual residence address,
for the employed census usually resident population count aged 15 years and over(7)",,,,,,,,,,,"2018 Census, occupation(3)(6)(10)(11) by usual residence address,
for the employed census usually resident population count aged 15 years and over(7)",,,,,,,,,,,"2006 Census, occupation(3)(6)(10)(11) by workplace address,(5)(12)
for the employed census usually resident population count aged 15 years and over(7)",,,,,,,,,,,"2013 Census, occupation(3)(6)(10)(11) by workplace address,(5)(12)
for the employed census usually resident population count aged 15 years and over(7)",,,,,,,,,,,"2018 Census, occupation(3)(6)(10)(11) by workplace address,(5)(12)
for the employed census usually resident population count aged 15 years and over(7)",,,,,,,,,,,"2006 Census, industry(4)(6)(13)(14) by usual residence address
for the employed census usually resident population count aged 15 years and over(7)",,,,,,,,,,,,,,,,,,,,,,"2013 Census, industry(4)(6)(13)(14) by usual residence address
for the employed census usually resident population count aged 15 years and over(7)",,,,,,,,,,,,,,,,,,,,,,"2018 Census, industry(4)(6)(13)(14) by usual residence address
for the employed census usually resident population count aged 15 years and over(7)",,,,,,,,,,,,,,,,,,,,,,"2006 Census, industry(4)(6)(13)(14) by workplace address,(5)(12)
for the employed census usually resident population count aged 15 years and over(7)",,,,,,,,,,,,,,,,,,,,,,"2013 Census, industry(4)(6(13)(14)) by workplace address,(5)(12)
for the employed census usually resident population count aged 15 years and over(7)",,,,,,,,,,,,,,,,,,,,,,"2018 Census, industry(4)(6)(13)(14) by workplace address,(5)(12)
for the employed census usually resident population count aged 15 years and over(7)",,,,,,,,,,,,,,,,,,,,,
Area_Code,Area_Description,Employed Full time,Employed Part time,Unemployed,Not in the Labour Force,Total stated,Work and Labour Force Status Unidentifiable,Total,Employed Full time,Employed Part time,Unemployed,Not in the Labour Force,Total stated,Work and Labour Force Status Unidentifiable,Total,Employed Full time,Employed Part time,Unemployed,Not in the Labour Force,Total stated,Work and Labour Force Status Unidentifiable,Total,Paid employee,Employer,Self employed and without employees,Unpaid family worker,Total stated,Not elsewhere included,Total,Paid employee,Employer,Self employed and without employees,Unpaid family worker,Total stated,Not elsewhere included,Total,Paid employee,Employer,Self employed and without employees,Unpaid family worker,Total stated,Not elsewhere included,Total,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Sales Workers,Machinery Operators and Drivers,Labourers,Total stated,Residual Categories Operational Codes only ,Total,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Sales Workers,Machinery Operators and Drivers,Labourers,Total stated,Residual Categories Operational Codes only ,Total,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Sales Workers,Machinery Operators and Drivers,Labourers,Total stated,Residual Categories Operational Codes only ,Total,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Sales Workers,Machinery Operators and Drivers,Labourers,Total stated,Residual Categories Operational Codes only ,Total,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Sales Workers,Machinery Operators and Drivers,Labourers,Total stated,Residual Categories Operational Codes only ,Total,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Sales Workers,Machinery Operators and Drivers,Labourers,Total stated,Residual Categories Operational Codes only ,Total,Agriculture Forestry and Fishing,Mining,Manufacturing,Electricity Gas Water and Waste Services,Construction,Wholesale Trade,Retail Trade,Accommodation and Food Services,Transport Postal and Warehousing,Information Media and Telecommunications,Financial and Insurance Services,Rental Hiring and Real Estate Services,Professional Scientific and Technical Services,Administrative and Support Services,Public Administration and Safety,Education and Training,Health Care and Social Assistance,Arts and Recreation Services,Other Services,Total stated,Not Elsewhere Included,Total,Agriculture Forestry and Fishing,Mining,Manufacturing,Electricity Gas Water and Waste Services,Construction,Wholesale Trade,Retail Trade,Accommodation and Food Services,Transport Postal and Warehousing,Information Media and Telecommunications,Financial and Insurance Services,Rental Hiring and Real Estate Services,Professional Scientific and Technical Services,Administrative and Support Services,Public Administration and Safety,Education and Training,Health Care and Social Assistance,Arts and Recreation Services,Other Services,Total stated,Not Elsewhere Included,Total,Agriculture Forestry and Fishing,Mining,Manufacturing,Electricity Gas Water and Waste Services,Construction,Wholesale Trade,Retail Trade,Accommodation and Food Services,Transport Postal and Warehousing,Information Media and Telecommunications,Financial and Insurance Services,Rental Hiring and Real Estate Services,Professional Scientific and Technical Services,Administrative and Support Services,Public Administration and Safety,Education and Training,Health Care and Social Assistance,Arts and Recreation Services,Other Services,Total stated,Not Elsewhere Included,Total,Agriculture Forestry and Fishing,Mining,Manufacturing,Electricity Gas Water and Waste Services,Construction,Wholesale Trade,Retail Trade,Accommodation and Food Services,Transport Postal and Warehousing,Information Media and Telecommunications,Financial and Insurance Services,Rental Hiring and Real Estate Services,Professional Scientific and Technical Services,Administrative and Support Services,Public Administration and Safety,Education and Training,Health Care and Social Assistance,Arts and Recreation Services,Other Services,Total stated,Not Elsewhere Included,Total,Agriculture Forestry and Fishing,Mining,Manufacturing,Electricity Gas Water and Waste Services,Construction,Wholesale Trade,Retail Trade,Accommodation and Food Services,Transport Postal and Warehousing,Information Media and Telecommunications,Financial and Insurance Services,Rental Hiring and Real Estate Services,Professional Scientific and Technical Services,Administrative and Support Services,Public Administration and Safety,Education and Training,Health Care and Social Assistance,Arts and Recreation Services,Other Services,Total stated,Not Elsewhere Included,Total,Agriculture Forestry and Fishing,Mining,Manufacturing,Electricity Gas Water and Waste Services,Construction,Wholesale Trade,Retail Trade,Accommodation and Food Services,Transport Postal and Warehousing,Information Media and Telecommunications,Financial and Insurance Services,Rental Hiring and Real Estate Services,Professional Scientific and Technical Services,Administrative and Support Services,Public Administration and Safety,Education and Training,Health Care and Social Assistance,Arts and Recreation Services,Other Services,Total stated,Not Elsewhere Included,Total
110200,Okahukura Peninsula,561,147,42,252,1002,39,1038,486,189,45,276,990,66,1056,639,198,39,306,1182,0,1182,408,69,177,42,693,15,708,399,48,165,48,660,12,672,570,66,144,57,837,0,837,195,57,96,42,63,51,60,108,669,39,708,180,81,78,51,57,33,51,105,633,39,672,204,93,117,75,66,66,81,132,837,0,837,135,21,33,9,18,12,30,63,321,21,339,135,15,27,15,18,6,21,63,300,12,312,132,18,42,15,27,6,30,69,336,0,336,213,3,78,3,72,30,42,21,30,9,15,12,33,9,9,48,18,6,21,669,39,708,189,6,45,3,60,27,42,27,30,6,9,18,33,18,15,48,36,6,24,645,27,672,177,6,72,3,114,42,57,39,42,6,12,15,42,39,24,48,54,9,33,837,0,837,198,0,21,3,30,6,6,0,6,3,0,9,15,6,0,9,3,3,6,321,15,339,189,3,15,3,24,3,6,9,6,0,3,9,6,6,3,9,3,6,6,303,9,312,162,3,12,3,36,9,12,12,9,0,0,9,15,6,6,12,6,3,15,336,0,336
110300,Inlet Kaipara Harbour South,C,C,C,C,C,C,0,C,C,C,C,C,C,0,C,C,C,C,C,C,0,C,C,C,C,C,C,0,C,C,C,C,C,C,0,C,C,C,C,C,C,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,C,C,C,12,C,12,6,6,6,3,3,0,6,3,33,3,33,C,C,C,C,C,C,C,C,C,C,3,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,12,C,12,9,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,30,C,33,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,3
110400,Cape Rodney,1080,366,48,564,2055,90,2145,1023,465,78,708,2274,210,2487,1329,558,48,903,2838,0,2838,741,162,414,96,1410,33,1443,750,159,417,132,1458,33,1488,1128,189,453,117,1887,0,1887,384,195,177,102,120,96,72,210,1353,90,1443,375,246,180,96,135,93,63,219,1404,84,1488,507,309,246,147,186,147,93,255,1887,0,1887,321,93,69,51,63,27,21,117,765,39,801,297,135,90,66,99,33,39,168,930,45,975,357,138,114,81,93,33,39,159,1014,0,1014,363,6,105,3,141,48,96,87,42,18,21,54,84,36,18,99,63,18,33,1344,99,1443,330,9,120,3,150,45,96,90,51,21,24,60,111,48,18,90,72,21,42,1401,87,1488,309,15,165,6,264,90,126,111,60,27,21,51,156,72,24,141,135,57,63,1887,0,1887,309,6,39,0,63,36,27,54,18,3,12,36,39,12,3,45,36,21,12,771,33,801,306,9,69,3,75,72,24,57,24,9,12,45,87,27,0,45,36,18,18,942,33,975,267,12,93,0,129,27,27,51,21,15,9,27,93,30,0,60,54,69,27,1014,0,1014
110500,Wellsford,573,156,42,471,1242,21,1260,456,168,57,546,1227,84,1311,681,213,66,525,1485,0,1485,555,54,87,15,711,15,729,465,39,78,18,603,21,624,759,42,84,9,894,0,894,87,63,120,51,75,78,99,117,687,42,729,93,54,93,48,63,81,60,93,585,39,624,156,96,144,78,87,117,81,135,894,0,894,129,177,174,75,117,123,84,114,993,24,1020,144,171,99,78,102,99,51,63,801,21,825,132,138,105,60,102,96,78,63,777,0,777,48,0,144,3,84,27,75,48,51,6,15,21,27,24,9,36,39,6,27,687,42,729,39,0,66,3,69,39,81,45,33,6,12,15,30,24,6,33,39,6,27,582,42,624,48,0,90,3,153,45,114,78,54,3,15,6,63,33,15,54,54,12,48,894,0,894,30,0,276,0,39,57,126,81,39,3,27,33,54,12,18,111,63,0,51,1014,9,1020,27,0,69,0,51,69,93,78,57,15,27,18,42,12,15,111,84,0,48,810,12,825,15,0,75,0,54,72,78,78,84,9,21,6,45,9,15,102,75,0,42,777,0,777
110600,Oceanic Auckland Region East,6,0,0,12,18,12,30,3,0,0,12,18,6,21,C,C,C,6,9,C,9,6,C,C,C,9,C,9,C,C,C,C,C,C,6,C,C,C,C,C,C,3,C,C,C,C,C,C,C,C,9,C,9,C,C,C,C,C,C,C,C,C,C,6,C,C,C,C,C,C,C,C,C,C,3,C,C,C,C,C,C,C,C,9,C,9,C,C,C,C,C,C,C,6,12,C,12,C,C,C,C,C,C,C,C,C,C,3,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,9,C,9,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,6,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,3,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,9,C,9,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,12,C,12,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,3
110700,South Head,756,207,36,348,1350,105,1455,756,276,54,426,1509,147,1659,1083,330,54,588,2049,0,2049,558,93,216,78,942,21,966,582,102,255,81,1014,18,1032,948,117,270,78,1410,0,1410,237,117,132,63,114,51,60,132,906,57,966,264,180,135,63,105,51,60,123,981,51,1032,357,252,237,114,147,90,72,138,1410,0,1410,156,42,60,18,39,9,15,111,453,18,468,213,174,75,60,105,27,21,117,786,30,816,207,87,69,42,57,33,21,126,642,0,642,213,3,78,3,105,45,66,27,42,9,12,27,51,33,27,54,30,21,39,888,78,966,195,0,69,0,129,36,69,24,33,12,27,30,78,33,30,75,66,30,36,978,54,1032,210,3,120,3,201,66,93,21,54,15,24,39,111,51,57,114,108,45,66,1410,0,1410,243,0,21,3,42,6,18,15,9,0,3,12,15,15,0,27,0,6,6,447,21,468,213,0,21,0,57,6,12,15,3,3,6,21,33,36,6,30,9,312,9,792,24,816,246,0,33,3,87,15,12,9,15,6,6,12,27,21,9,36,18,63,18,642,0,642
110800,Kaipara Hills,576,132,24,261,987,87,1071,618,180,51,312,1161,108,1269,843,261,30,369,1500,0,1500,426,57,162,36,681,24,708,495,57,174,51,780,15,798,732,84,225,63,1101,0,1101,189,102,96,45,72,45,36,81,657,51,708,180,132,117,51,93,57,39,93,762,36,798,264,204,174,78,117,87,66,114,1101,0,1101,123,21,21,3,18,3,9,42,243,18,261,117,36,39,12,36,9,18,75,333,18,351,138,48,54,15,33,9,18,57,369,0,369,138,3,66,3,81,21,42,15,18,12,24,21,45,18,21,39,36,15,24,654,51,708,117,0,72,6,84,30,66,21,18,12,21,21,69,33,27,51,57,18,36,756,39,798,138,3,75,15,165,69,72,42,39,12,27,21,135,33,45,81,69,24,39,1101,0,1101,147,0,12,3,18,3,6,3,0,0,3,9,9,0,0,12,3,3,15,246,15,261,165,3,18,3,33,3,9,9,3,0,0,24,15,12,0,21,3,6,15,342,12,351,141,0,15,3,60,9,9,0,6,3,6,12,42,9,6,18,6,9,12,369,0,369
110900,Dome Valley-Matakana,402,186,9,192,792,27,822,435,198,30,288,951,66,1017,570,240,33,378,1224,0,1224,303,72,177,39,585,6,591,321,75,192,36,621,9,630,459,105,219,30,813,0,813,138,99,93,33,75,45,21,63,564,27,591,144,123,81,57,63,48,21,72,612,21,630,207,183,111,72,69,69,27,78,813,0,813,105,63,72,39,42,30,12,51,408,9,420,135,84,81,66,42,66,15,81,570,15,585,159,114,120,84,60,69,24,90,720,0,720,78,0,45,3,81,21,45,30,24,6,15,24,45,27,6,36,42,12,24,552,39,591,72,3,45,0,66,27,57,57,18,3,12,24,57,24,9,42,51,21,21,609,24,630,63,3,66,3,99,36,81,72,21,12,15,30,114,33,21,51,51,15,24,813,0,813,87,0,51,3,42,9,39,39,12,0,3,9,15,6,0,45,15,18,15,405,15,420,87,6,33,0,57,9,105,90,12,9,6,15,27,15,0,48,21,18,15,570,15,585,60,6,48,0,90,24,99,168,6,15,3,15,66,18,0,45,18,18,21,720,0,720
111000,Oceanic Auckland Region West,C,C,C,C,C,C,3,C,C,C,C,C,C,0,C,C,C,C,C,C,0,C,C,C,C,C,C,0,C,C,C,C,C,C,0,C,C,C,C,C,C,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,0
