Statistical area 2 code (2018 areas),Statistical area 2 description,"Total households, 
in occupied private dwellings",,,"2006 Census, tenure of household,(1)(6)
for households in occupied private dwellings",,,,,,,"2013 Census, tenure of household,(1)(6)
for households in occupied private dwellings",,,,,,,"2018 Census, tenure of household,(1)(6)
for households in occupied private dwellings",,,,,,,"2006 Census, sector of landlord,(2)(10)
 for households in rented occupied private dwellings ",,,,,,,,,"2013 Census, sector of landlord,(2)(10)
 for households in rented occupied private dwellings ",,,,,,,,,"2018 Census, sector of landlord,(2)
 for households in rented occupied private dwellings ",,,,,,,,,"2006 Census, weekly rent paid by household,(3)
for households in rented occupied private dwellings ",,,,,,,,,,,,"2013 Census, weekly rent paid by household,(3)
for households in rented occupied private dwellings ",,,,,,,,,,,,"2018 Census, weekly rent paid by household,(3)
for households in rented occupied private dwellings ",,,,,,,,,,,,"2006 Census, number of motor vehicles,(4)(10)
for households in occupied private dwellings ",,,,,,,,,"2013 Census, number of motor vehicles,(4)(10)
for households in occupied private dwellings ",,,,,,,,,"2018 Census, number of motor vehicles,(4)
for households in occupied private dwellings ",,,,,,,,,"2006 Census, access to telecommunication systems,(5)(9)
for households in occupied private dwellings ",,,,,,,,"2013 Census, access to telecommunication systems,(5)(9)
for households in occupied private dwellings ",,,,,,,,"2018 Census, access to telecommunication systems,(5)(9)
for households in occupied private dwellings ",,,,,,,
Area_Code,Area_Description,2006,2013,2018,Dwelling owned or partly owned,Dwelling held in a family trust,Total owned(11),Dwelling not owned and not held in a family trust,Total stated,Not elsewhere included,Total,Dwelling owned or partly owned,Dwelling held in a family trust,Total owned(11),Dwelling not owned and not held in a family trust,Total stated,Not elsewhere included,Total,Dwelling owned or partly owned,Dwelling held in a family trust,Total owned(11),Dwelling not owned and not held in a family trust,Total stated,Not elsewhere included,Total,"Private person, trust, or business",Local authority or city council,Housing New Zealand Corporation,"Iwi, hapū, or Māori land trust(7)",Other community housing provider(7),"Other state owned corporation or state owned enterprise, or government department or ministry", Total stated,Not elsewhere included,Total,"Private person, trust, or business",Local authority or city council,Housing New Zealand Corporation,"Iwi, hapū, or Māori land trust(7)",Other community housing provider(7),"Other state owned corporation or state owned enterprise, or government department or ministry", Total stated,Not elsewhere included,Total,"Private person, trust, or business",Local authority or city council,Housing New Zealand Corporation,"Iwi, hapū, or Māori land trust(7)",Other community housing provider(7),"Other state owned corporation or state owned enterprise, or government department or ministry", Total stated,Not elsewhere included,Total, Under $100 ,$100 - $149,$150 - $199,$200 - $299,$300 - $399,$400 - $499,$500 - $599,$600 and over,Total stated,Not elsewhere included,Total,Median ($), Under $100 ,$100 - $149,$150 - $199,$200 - $299,$300 - $399,$400 - $499,$500 - $599,$600 and over,Total stated,Not elsewhere included,Total,Median ($), Under $100 ,$100 - $149,$150 - $199,$200 - $299,$300 - $399,$400 - $499,$500 - $599,$600 and over,Total stated,Not elsewhere included,Total,Median ($),No motor vehicle,One motor vehicle,Two motor vehicles,Three motor vehicles(8),Four motor vehicles(8),Five or more motor vehicles(8),Total stated,Not elsewhere included,Total,No motor vehicle,One motor vehicle,Two motor vehicles,Three motor vehicles(8),Four motor vehicles(8),Five or more motor vehicles(8),Total stated,Not elsewhere included,Total,No motor vehicle,One motor vehicle,Two motor vehicles,Three motor vehicles(8),Four motor vehicles(8),Five or more motor vehicles(8),Total stated,Not elsewhere included,Total,No access to telecommunication systems,Access to a cellphone / mobile phone,Access to a telephone,Access to a fax machine(10),Access to the internet,Total stated,Not Elsewhere Included,Total,No access to telecommunication systems,Access to a cellphone / mobile phone,Access to a telephone,Access to a fax machine(10),Access to the internet,Total stated,Not Elsewhere Included,Total,No access to telecommunication systems,Access to a cellphone / mobile phone,Access to a telephone,Access to a fax machine(10),Access to the internet,Total stated,Not Elsewhere Included,Total
110200,Okahukura Peninsula,495,537,522,285,51,336,126,465,30,495,279,57,336,150,486,48,537,312,57,369,150,522,0,522,81,0,0,..,..,0,81,6,90,111,0,0,..,..,0,111,6,120,120,0,0,0,0,0,120,0,120,21,15,15,33,3,0,0,0,87,0,90,180,9,12,21,39,24,6,0,0,114,6,120,230,3,9,12,30,36,24,6,3,120,0,120,300,15,153,189,114,..,..,477,21,495,9,168,219,99,..,..,495,42,537,12,132,204,84,42,15,486,36,522,12,372,423,183,279,477,21,495,6,429,408,114,351,498,39,537,6,450,324,..,387,486,36,522
110300,Inlet Kaipara Harbour South,0,0,0,C,C,C,C,C,C,0,C,C,C,C,C,C,0,C,C,C,C,C,C,0,C,C,C,..,..,C,C,C,0,C,C,C,..,..,C,C,C,0,C,C,C,C,C,C,C,C,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,..,..,C,C,0,C,C,C,C,..,..,C,C,0,C,C,C,C,C,C,C,C,0,C,C,C,C,C,C,C,0,C,C,C,C,C,C,C,0,C,C,C,..,C,C,C,0
110400,Cape Rodney,1005,1155,1275,564,126,690,249,939,69,1005,546,210,756,282,1038,114,1155,723,255,978,294,1275,0,1275,168,0,0,..,..,0,168,6,177,198,0,0,..,..,0,198,9,207,213,0,0,0,0,0,216,0,216,18,21,30,81,27,0,0,3,171,6,177,210,12,12,21,69,63,18,3,3,201,9,207,280,6,6,12,45,66,57,15,3,210,6,216,350,21,273,477,183,..,..,954,51,1005,24,315,507,213,..,..,1056,99,1155,18,300,546,180,72,42,1161,117,1275,18,747,855,402,597,954,51,1005,12,852,939,252,831,1056,96,1155,9,1044,813,..,1035,1170,102,1275
110500,Wellsford,621,666,654,339,39,378,204,582,42,621,336,51,387,231,618,48,666,372,48,420,237,654,0,654,144,0,3,..,..,12,156,12,168,177,0,0,..,..,3,183,21,204,207,3,0,0,3,3,216,0,216,9,9,36,105,6,3,0,0,165,3,168,220,9,9,15,96,63,3,0,0,201,3,204,260,0,6,6,36,72,81,3,3,210,3,216,370,51,273,201,75,..,..,597,21,621,69,297,207,60,..,..,633,36,666,39,231,228,72,21,12,603,51,654,12,420,498,126,249,597,24,621,9,504,495,78,381,627,36,666,12,558,342,..,468,615,42,654
110600,Oceanic Auckland Region East,21,12,6,9,0,9,3,12,9,21,9,3,12,3,9,6,12,C,C,C,C,6,C,6,C,C,C,..,..,C,C,C,3,C,C,C,..,..,C,C,C,3,C,C,C,C,C,C,C,C,0,C,C,C,C,C,C,C,C,C,C,3,C,C,C,C,C,C,C,C,C,C,C,3,C,C,C,C,C,C,C,C,C,C,C,0,C,6,6,3,0,..,..,15,9,21,C,C,C,C,..,..,9,C,12,C,C,C,C,C,C,C,C,6,0,9,3,3,3,15,9,21,3,6,0,3,3,9,6,12,C,C,C,..,C,C,C,6
110700,South Head,687,762,903,378,81,459,153,612,75,687,387,111,498,183,681,81,762,561,129,690,213,903,0,903,108,0,0,..,..,3,108,3,111,129,0,0,..,..,3,135,6,138,168,3,0,3,0,0,174,3,177,12,21,15,51,9,3,0,3,108,3,111,200,6,6,12,48,42,15,3,3,129,9,138,280,9,3,9,33,72,30,15,6,174,3,177,350,15,195,264,147,..,..,624,63,687,12,189,315,174,..,..,684,78,762,15,150,354,141,63,33,753,150,903,18,474,552,246,381,621,63,687,12,585,585,144,531,687,78,762,6,705,504,..,672,756,147,903
110800,Kaipara Hills,474,588,630,297,54,351,84,438,36,474,333,81,414,120,537,54,588,423,99,522,108,630,0,630,54,0,9,..,..,0,63,0,63,81,0,3,..,..,3,84,6,90,72,0,3,3,0,0,75,0,75,6,12,9,18,12,0,0,3,60,3,63,200,9,3,6,30,27,3,3,3,87,3,90,250,3,6,3,15,24,15,3,6,72,3,75,300,9,114,201,120,..,..,444,30,474,9,129,267,135,..,..,543,48,588,3,111,273,114,42,30,567,60,630,15,264,408,180,276,441,33,474,18,336,471,105,417,543,45,588,9,477,381,..,477,567,63,630
110900,Dome Valley-Matakana,387,480,546,228,69,297,66,366,18,387,237,99,336,105,447,39,480,303,141,444,105,546,0,546,51,0,0,..,..,3,51,3,54,90,0,0,..,..,0,90,3,93,90,0,0,0,0,0,90,0,90,3,3,12,18,15,6,0,0,54,0,54,270,6,6,6,12,33,18,3,0,90,6,93,330,0,3,0,12,18,24,21,9,87,3,90,450,9,96,183,87,..,..,375,12,387,12,129,222,87,..,..,453,27,480,9,99,270,78,33,12,501,48,546,3,315,357,183,276,375,9,387,9,390,402,99,363,453,27,480,0,486,327,..,459,504,45,546
111000,Oceanic Auckland Region West,3,0,0,C,C,C,C,C,C,3,C,C,C,C,C,C,0,C,C,C,C,C,C,0,C,C,C,..,..,C,C,C,0,C,C,C,..,..,C,C,C,0,C,C,C,C,C,C,C,C,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,..,..,C,C,3,C,C,C,C,..,..,C,C,0,C,C,C,C,C,C,C,C,0,C,C,C,C,C,C,C,3,C,C,C,C,C,C,C,0,C,C,C,..,C,C,C,0
111100,Warkworth West,570,702,960,327,63,390,147,537,33,570,360,120,480,192,672,33,702,564,135,699,264,960,0,960,105,0,6,..,..,0,111,9,120,141,0,6,..,..,0,150,12,159,198,0,6,0,12,0,216,0,216,12,9,18,48,27,0,0,0,120,0,120,250,6,12,3,24,78,21,3,0,153,6,159,330,6,18,9,12,24,72,39,18,195,21,216,450,39,225,213,81,..,..,558,9,570,39,285,276,84,..,..,687,18,702,54,363,327,93,36,21,894,69,960,9,402,513,162,312,558,12,570,9,558,633,129,519,684,18,702,3,804,651,..,756,900,60,960
111200,Puhoi Valley,981,1155,1242,621,144,765,159,924,57,981,618,240,858,231,1092,63,1155,741,261,1002,237,1242,0,1242,105,3,0,..,..,3,114,6,117,180,6,0,..,..,3,186,6,189,183,3,0,0,0,6,195,0,195,6,9,21,48,27,6,0,3,117,3,117,250,3,6,9,54,63,36,12,9,192,3,189,320,3,3,3,24,54,51,36,24,195,3,195,400,12,222,477,219,..,..,927,51,981,9,237,567,291,..,..,1104,51,1155,18,201,510,237,93,66,1128,114,1242,12,720,864,432,696,930,51,981,9,909,984,288,906,1098,54,1155,6,1041,810,..,1035,1137,105,1242
