Address,Price,Bedroom,Bathroom,Garage,Other Feature 1,Other Feature 2,Furniture,Type_Apartment,Type_Carpark,Type_House,Type_Studio,Type_Townhouse,Type_Unit,Type_Unknown,Suburb
"20/9A Esplanade Road, Mount Eden, Auckland City",360.0,1,1,1,,,0,0,0,0,0,0,1,0,Mount Eden
"46 Montrose Street, Point Chevalier, Auckland City",650.0,2,1,2,,,0,0,0,1,0,0,0,0,Point Chevalier
"1/351 Mount Eden Road, Mount Eden, Auckland City",530.0,2,1,,,,0,0,0,1,0,0,0,0,Mount Eden
"64 School Road, Kingsland, Auckland City",750.0,3,1,2,,,0,0,0,1,0,0,0,0,Kingsland
"2E/25 Rutland Street, Auckland Central, Auckland City",370.0,1,1,,,,0,1,0,0,0,0,0,0,Auckland Central
"4G/16 Market Place Viaduct, Auckland Central, Auckland City",520.0,1,1,,,,0,1,0,0,0,0,0,0,Auckland Central
"29/139 Quay Street, Auckland Central, Auckland City",790.0,1,1,,,,1,1,0,0,0,0,0,0,Auckland Central
"147 Quay Street, Auckland Central, Auckland City",780.0,1,1,,,,1,1,0,0,0,0,0,0,Auckland Central
"174A White Swan Road, Mount Roskill, Auckland City",695.0,3,2,3,,,0,0,0,1,0,0,0,0,Mount Roskill
"B3/15 Scanlan Street, Grey Lynn, Auckland City",750.0,2,1,1,,,0,0,0,0,0,1,0,0,Grey Lynn
"3/1223 New North Road, Mount Albert, Auckland City",580.0,3,1,2,,,0,0,0,0,0,0,1,0,Mount Albert
"2/24 West End Road, Herne Bay, Auckland City",1795.0,7,2,,,,0,0,0,1,0,0,0,0,Herne Bay
"1006/8 Ronayne Street, Auckland Central, Auckland City",780.0,2,2,2,,,1,1,0,0,0,0,0,0,Auckland Central
"10 Green Lane East, Remuera, Auckland City",1250.0,5,2,6,,,0,0,0,1,0,0,0,0,Remuera
"G06/246 Khyber Pass Rd, Newmarket, Auckland City",750.0,2,1,,,,0,0,0,1,0,0,0,0,Newmarket
"132 Allum Road, Kohimarama, Auckland City",500.0,1,1,1,,,1,0,0,0,0,0,1,0,Kohimarama
"6 Ruarangi Road, Mount Albert, Auckland City",535.0,1,1,1,,,0,0,0,1,0,0,0,0,Mount Albert
"6E 2 Queen Street, Auckland Central, Auckland City",1500.0,2,2,1,,,0,1,0,0,0,0,0,0,Auckland Central
"39 Sackville Street, Grey Lynn, Auckland City",420.0,1,1,1,,,0,0,0,0,0,0,1,0,Grey Lynn
"36D Staveley Avenue, Mount Roskill, Auckland City",1000.0,4,3,2,,,0,0,0,0,0,0,1,0,Mount Roskill
"2/38 Marjorie Jayne Crescent, Otahuhu, Auckland City",635.0,3,1,2,,,0,0,0,0,0,0,1,0,Otahuhu
"40 Eastbourne Road, Remuera, Auckland City",2980.0,4,4,5,,,0,0,0,1,0,0,0,0,Remuera
"34 Kingston Street, Auckland Central, Auckland City",425.0,1,1,,,,0,1,0,0,0,0,0,0,Auckland Central
"33/139 Quay Street, Auckland Central, Auckland City",825.0,1,1,,,,1,1,0,0,0,0,0,0,Auckland Central
"1/51 Aranui Road, Mount Wellington, Auckland City",950.0,4,3,3,,,0,0,0,0,0,1,0,0,Mount Wellington
"145 Quay Street, Auckland Central, Auckland City",1800.0,3,2,,,,1,1,0,0,0,0,0,0,Auckland Central
"43 Ash Street, Avondale, Auckland City",750.0,3,2,3,,,0,0,0,1,0,0,0,0,Avondale
"5/137 Jervois Road, Herne Bay, Auckland City",595.0,1,1,1,,,0,0,0,0,0,0,1,0,Herne Bay
"717/430 Queen Street, Auckland Central, Auckland City",580.0,2,1,,,,1,1,0,0,0,0,0,0,Auckland Central
"7/118 Grafton Road, Grafton, Auckland City",690.0,3,1,2,,,0,0,0,0,0,0,1,0,Grafton
"L8/30 Symonds Street, Auckland Central, Auckland City",450.0,2,1,,,,1,1,0,0,0,0,0,0,Auckland Central
