Focus Area,0,1,2,3,4,5+
Central Auckland_average_sale_price,0,"$242,715","$509,706","$710,000","$1,648,000",0
Central Auckland East_average_sale_price,"$1,873,900",0,"$796,188","$1,242,833","$1,354,231","$2,195,000"
Central Auckland West_average_sale_price,0,"$785,000","$1,042,667","$1,483,000","$1,220,000","$2,650,000"
Eastern Suburbs_average_sale_price,0,"$455,833","$975,800","$1,262,200","$1,602,417","$1,830,000"
Franklin/Manukau Rural_average_sale_price,"$1,022,321",0,"$567,200","$846,696","$1,365,425","$1,236,643"
North Shore_average_sale_price,"$820,362","$582,500","$849,000","$1,113,585","$1,459,435","$1,755,004"
Northland_average_sale_price,"$395,109","$390,000","$510,000","$863,938","$938,333","$1,130,000"
Pakuranga/Howick_average_sale_price,"$789,928","$633,333","$779,833","$1,149,520","$1,405,674","$1,548,310"
Rodney_average_sale_price,"$1,052,500",0,"$703,000","$1,027,458","$1,313,729","$1,706,455"
South Auckland_average_sale_price,"$692,407","$1,273,771","$670,963","$827,224","$977,420","$1,335,000"
West Auckland_average_sale_price,"$890,000","$476,750","$727,214","$950,760","$1,127,940","$1,472,685"
Central Auckland_average_weekly_rent,0,$434,$633,$939,$779,"$1,117"
Central Auckland East_average_weekly_rent,0,$431,$559,$705,$894,"$1,140"
Central Auckland West_average_weekly_rent,0,$494,$599,$787,$892,"$1,222"
Eastern Suburbs_average_weekly_rent,0,$438,$594,$752,$955,"$1,215"
Franklin/Manukau Rural_average_weekly_rent,0,$382,$456,$555,$660,$756
North Shore_average_weekly_rent,0,$463,$555,$683,$828,"$1,002"
Pakuranga/Howick_average_weekly_rent,0,$423,$544,$657,$790,$948
Rodney_average_weekly_rent,0,$406,$532,$635,$770,$895
South Auckland_average_weekly_rent,0,$370,$484,$606,$717,$842
West Auckland_average_weekly_rent,0,$407,$525,$608,$731,$874
Central Auckland_total_property,0,553,422,69,7,3
Central Auckland East_total_property,0,262,712,725,370,110
Central Auckland West_total_property,0,94,261,228,78,24
Eastern Suburbs_total_property,0,221,642,713,364,105
Franklin/Manukau Rural_total_property,0,32,169,523,327,53
North Shore_total_property,0,134,633,961,531,158
Pakuranga/Howick_total_property,0,21,282,648,476,231
Rodney_total_property,0,57,318,455,359,92
South Auckland_total_property,0,175,599,"1,074",463,146
West Auckland_total_property,0,129,629,"1,231",443,12
Central Auckland_sale_vol,0,17,17,2,1,0
Central Auckland East_sale_vol,2,0,8,18,13,3
Central Auckland West_sale_vol,0,1,6,11,1,1
Eastern Suburbs_sale_vol,0,3,15,25,12,3
Franklin/Manukau Rural_sale_vol,7,0,5,23,20,7
North Shore_sale_vol,3,2,7,39,34,26
Northland_sale_vol,2,1,1,16,6,1
Pakuranga/Howick_sale_vol,6,3,15,25,31,21
Rodney_sale_vol,4,0,8,17,24,11
South Auckland_sale_vol,6,3,41,67,38,10
West Auckland_sale_vol,5,4,28,82,30,13
