Statistical area 2 code (2018 areas),Statistical area 2 description,"2006 Census, occupied private dwelling type(1)(10)(16)",,,,,"2013 Census, occupied private dwelling type(1)(10)(16)",,,,,"2018 Census, occupied private dwelling type(1)(10)(16)",,,,,"2006 Census, dwelling record type,(1)
for occupied dwellings  ",,,"2013 Census, dwelling record type,(1)
for occupied dwellings  ",,,"2018 Census, dwelling record type,(1)
for occupied dwellings  ",,,"2018 Census, occupied non-private dwelling type(1)(13)",,,,"2006 Census, number of rooms,(2)(11)
for occupied private dwellings ",,,,,,,,,,,"2013 Census, number of rooms,(2)(11)
for occupied private dwellings ",,,,,,,,,,,"2018 Census, number of rooms,(2)(11)
for occupied private dwellings ",,,,,,,,,,,"2006 Census, number of bedrooms,(3) 
for occupied private dwellings ",,,,,,,,"2013 Census, number of bedrooms,(3)
for occupied private dwellings ",,,,,,,,"2018 Census, number of bedrooms,(3) 
for occupied private dwellings ",,,,,,,,"2018 Census, main types of heating used to heat dwellings (total responses),(4)(12)(13)
for occupied private dwellings  ",,,,,,,,,,,,"2006 Census, fuel types used to heat dwellings (total responses),(5)(14)(15)
for occupied private dwellings ",,,,,,,,,,,"2013 Census, fuel types used to heat dwellings (total responses),(5)(14)(15)
for occupied private dwellings ",,,,,,,,,,,"2018 Census, fuel types used to heat dwellings (total responses),(5)(14)(15)
for occupied private dwellings ",,,,,,,,,,,"2006 Census, dwelling occupancy status,(6)(16)
for all dwellings ",,,,,,"2013 Census, dwelling occupancy status,(6)(16)
for all dwellings ",,,,,,"2018 Census, dwelling occupancy status,(6)(16)
for all dwellings ",,,,,,"2018 Census, access to basic amenities,(7)(13)(17)(18)
for occupied private dwellings ",,,,,,,,,,,"2018 Census, dwelling dampness indicator,(8)(13)(18)
for occupied private dwellings ",,,,,,,"2018 Census, dwelling mould indicator,(9)(13)(18)
for occupied private dwellings ",,,,,,
Area_Code,Area_Description,Separate house,Joined dwelling,Other private dwelling,Private dwelling not further defined,Total,Separate house,Joined dwelling,Other private dwelling,Private dwelling not further defined,Total,Separate house,Joined dwelling,Other private dwelling,Private dwelling not further defined,Total,Private dwelling,Non-private dwelling,Total,Private dwelling,Non-private dwelling,Total,Private dwelling,Non-private dwelling,Total,Institution,Other non-private dwelling,Non-private dwelling not further defined,Total,One room,Two rooms,Three rooms,Four rooms, Five rooms,Six rooms,Seven rooms,Eight or more rooms, Total stated, Not elsewhere included,Total,One room,Two rooms,Three rooms,Four rooms, Five rooms,Six rooms,Seven rooms,Eight or more rooms, Total stated, Not elsewhere included,Total,One room,Two rooms,Three rooms,Four rooms, Five rooms,Six rooms,Seven rooms,Eight or more rooms, Total stated, Not elsewhere included,Total,One bedroom,Two bedrooms, Three bedrooms,Four bedrooms,Five or more bedrooms,Total stated,Not elsewhere included,Total,One bedroom,Two bedrooms, Three bedrooms,Four bedrooms,Five or more bedrooms,Total stated,Not elsewhere included,Total,One bedroom,Two bedrooms, Three bedrooms,Four bedrooms,Five or more bedrooms,Total stated,Not elsewhere included,Total,No heating used,Heat pump,Electric heater,Fixed gas heater,Portable gas heater,Wood burner,Pellet fire,Coal burner,Other types of heating,Total stated, Not elsewhere included,Total, Electricity,Gas,Wood,Coal,Home heating oil,Solar power, No fuels used in this dwelling,Other fuel(s) ,Total stated, Not elsewhere included, Total, Electricity,Gas,Wood,Coal,Home heating oil,Solar power, No fuels used in this dwelling,Other fuel(s) ,Total stated, Not elsewhere included, Total, Electricity,Gas,Wood,Coal,Home heating oil,Solar power, No fuels used in this dwelling,Other fuel(s) ,Total stated, Not elsewhere included, Total, Occupied dwelling,Unoccupied dwelling – residents away(19),Unoccupied dwelling – empty dwelling(19),Total unoccupied private dwellings(20), Dwelling under construction(19),Total dwellings, Occupied dwelling,Unoccupied dwelling – residents away(19),Unoccupied dwelling – empty dwelling(19),Total unoccupied private dwellings(20), Dwelling under construction(19),Total dwellings, Occupied dwelling,Unoccupied dwelling – residents away(19),Unoccupied dwelling – empty dwelling(19),Total unoccupied private dwellings(20), Dwelling under construction(19),Total dwellings,None of these,Cooking facilities,Tap water that is safe to drink,Kitchen sink,Refrigerator,Bath or shower,Toilet,Electricity supply,Total stated,Not elsewhere included,Total, Always damp,Sometimes damp, Total damp(21), Not damp,Total stated,Not elsewhere included,Total,Mould over A4 size  always,Mould over A4 size  sometimes,Total mould(22),No mould / mould smaller than A4 size,Total stated,Not elsewhere included,Total
110200,Okahukura Peninsula,462,6,9,27,504,477,6,9,42,534,498,18,9,0,525,504,3,504,534,0,537,525,3,528,C,C,C,3,0,3,15,27,66,114,123,129,480,24,504,0,9,12,33,66,120,117,138,498,39,534,0,3,9,21,48,123,147,177,525,0,525,15,51,237,144,36,480,24,504,21,51,243,144,42,498,39,534,24,51,249,159,42,525,0,525,24,108,177,12,33,318,3,3,6,492,45,525,282,135,315,18,0,12,12,6,477,24,504,279,90,339,9,0,9,24,3,495,42,534,255,45,324,3,0,0,24,3,489,48,525,504,18,75,93,6,600,537,18,81,99,0,636,528,75,54,129,3,663,3,483,459,483,477,483,486,486,489,36,525,12,114,126,348,474,54,525,24,78,102,369,471,54,525
110300,Inlet Kaipara Harbour South,C,C,C,C,0,C,C,C,C,0,C,C,C,C,0,C,C,0,C,C,0,C,C,0,C,C,C,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,C,C,0,C,C,C,C,C,C,C,0,C,C,C,C,C,C,C,0,C,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,C,0,C,C,C,C,C,C,0
110400,Cape Rodney,918,24,21,60,1026,1014,24,15,111,1167,1227,63,15,0,1305,1026,6,1032,1167,12,1176,1305,18,1320,3,15,0,18,3,21,39,63,135,183,216,297,957,66,1026,6,15,39,75,126,216,225,354,1056,108,1167,3,9,24,57,147,264,315,483,1305,0,1305,48,150,417,267,87,972,54,1026,54,147,453,312,99,1062,102,1167,69,198,543,384,114,1305,0,1305,42,276,489,42,54,780,3,0,27,1194,120,1305,633,282,672,21,0,30,27,6,969,51,1026,672,186,729,9,0,42,24,12,1056,111,1167,696,99,795,0,0,0,42,0,1194,126,1305,1032,108,348,456,21,1509,1176,123,369,492,12,1683,1320,294,210,498,24,1854,3,1179,1140,1179,1161,1185,1182,1176,1194,111,1305,36,255,291,879,1170,132,1305,54,168,222,957,1179,126,1305
110500,Wellsford,543,60,0,27,627,570,60,3,42,669,603,51,0,0,657,627,3,633,669,3,675,657,6,660,C,C,C,6,3,3,27,66,99,171,114,114,597,30,627,0,6,15,51,105,207,138,108,627,45,669,0,3,6,42,81,210,168,150,657,0,657,21,90,333,111,36,594,36,627,15,99,354,117,48,636,36,669,18,93,363,135,45,657,0,657,45,225,273,18,60,192,0,0,6,612,45,657,429,198,270,18,0,3,21,6,591,36,627,450,141,246,9,0,3,36,6,630,42,669,423,78,198,0,0,0,45,0,612,51,657,633,24,45,69,3,705,675,6,54,60,3,738,660,45,48,93,3,759,0,606,597,609,591,606,606,600,612,45,657,18,150,168,429,597,60,657,36,108,144,453,597,60,657
110600,Oceanic Auckland Region East,3,0,24,9,36,0,0,15,3,18,C,C,9,C,9,36,0,36,18,0,18,9,0,9,C,C,C,0,3,9,0,3,3,3,0,3,24,9,36,3,3,3,3,0,3,3,0,15,6,18,C,C,C,C,C,C,C,C,6,C,9,9,9,6,0,3,24,9,36,3,9,3,0,0,15,6,18,C,C,C,C,C,6,C,9,C,C,C,C,C,C,C,C,C,C,C,9,6,9,3,0,0,0,6,6,27,9,36,3,0,3,3,0,0,9,3,15,6,18,C,C,C,C,C,C,C,C,C,C,9,36,C,C,C,C,39,18,C,C,C,C,21,9,0,3,C,0,9,C,6,C,6,C,C,C,C,6,C,9,C,C,C,C,6,C,9,C,C,C,C,6,C,9
110700,South Head,570,24,24,72,693,657,15,12,84,765,846,45,15,0,906,693,0,693,765,0,765,906,0,906,C,C,C,0,9,15,33,48,81,156,111,174,627,66,693,6,9,27,48,99,162,144,195,687,78,765,0,6,24,51,96,201,195,327,906,0,906,51,93,267,168,48,627,66,693,39,90,303,192,60,687,75,765,57,123,378,264,84,906,0,906,36,204,276,33,63,456,6,3,12,762,153,906,378,186,372,18,0,6,24,9,627,63,693,429,147,414,15,0,21,21,9,684,81,765,429,93,468,3,0,0,36,3,762,156,906,693,18,63,81,21,795,765,81,66,147,9,921,906,54,33,81,12,1005,3,750,711,753,741,753,750,747,759,147,906,15,129,144,603,750,159,906,27,78,105,642,747,159,906
110800,Kaipara Hills,423,3,15,36,477,516,3,18,54,594,603,18,15,0,636,477,3,480,594,3,597,636,3,639,C,C,C,3,3,9,15,27,54,111,93,135,444,36,477,3,6,18,36,84,132,105,159,540,54,594,3,3,9,33,57,168,138,225,636,0,636,18,63,195,129,42,447,30,477,24,72,234,162,54,546,48,594,24,93,270,174,75,636,0,636,24,96,213,6,36,411,0,3,12,573,72,636,267,132,306,24,0,6,18,6,447,30,477,306,99,384,18,0,12,21,6,543,51,594,282,42,414,3,0,3,24,3,570,75,636,480,12,42,54,9,546,597,15,63,78,3,678,639,57,45,96,6,741,0,564,537,564,561,561,564,564,573,66,636,12,105,117,450,564,72,636,21,72,93,471,564,72,636
110900,Dome Valley-Matakana,348,12,12,15,387,423,18,15,30,489,522,21,9,0,549,387,3,390,489,6,495,549,9,558,C,9,C,9,3,6,18,30,36,93,60,129,378,12,387,6,6,18,33,51,99,87,159,459,30,489,3,0,9,15,39,111,135,237,549,0,549,18,54,165,111,30,378,12,387,36,60,174,159,30,459,30,489,18,69,228,192,42,549,0,549,9,201,192,45,24,303,3,3,18,507,48,549,255,117,279,15,0,12,6,3,375,15,387,333,87,312,15,0,15,6,12,459,30,489,339,72,312,3,0,0,9,3,504,48,549,390,33,33,66,12,468,495,21,48,69,6,567,558,60,30,84,6,651,0,495,486,495,492,498,495,495,501,48,549,6,75,81,411,492,57,549,21,39,60,438,498,48,549
111000,Oceanic Auckland Region West,C,C,C,C,3,C,C,C,C,0,C,C,C,C,0,C,C,3,C,C,0,C,C,0,C,C,C,0,C,C,C,C,C,C,C,C,C,C,3,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,C,C,3,C,C,C,C,C,C,C,0,C,C,C,C,C,C,C,0,C,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,C,C,C,C,C,3,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,C,0,C,C,C,C,C,C,0
