Number of Bedrooms,1,2,3,4,5+
Central Auckland,$434,$633,$939,$779,"$1,117"
Central Auckland East,$431,$559,$705,$894,"$1,140"
Central Auckland West,$494,$599,$787,$892,"$1,222"
Eastern Suburbs,$438,$594,$752,$955,"$1,215"
Franklin/Manukau Rural,$382,$456,$555,$660,$756
North Shore,$463,$555,$683,$828,"$1,002"
Pakuranga/Howick,$423,$544,$657,$790,$948
Rodney,$406,$532,$635,$770,$895
South Auckland,$370,$484,$606,$717,$842
West Auckland,$407,$525,$608,$731,$874
Total,$434,$551,$655,$793,$968
