Address,Price,Bedrooms,Bathrooms,Date Listed,link,Suburb
"196  Campbell Road, Greenlane",1300.0,5,3,Listed: Yesterday,/address/auckland/greenlane/196-campbell-road/MzJBDZ,Greenlane
"7C/1 Emily Place, City Centre",800.0,2,1,Listed: Yesterday,/address/auckland/auckland-central/7c-1-emily-place/ODPg1,City Centre
"1105/19 Anzac Ave, City Centre",600.0,2,1,Listed: Yesterday,/address/auckland/auckland-central/1105-19-anzac-avenue/RzJB7,City Centre
"28 Georgina Street, Freemans Bay",700.0,1,1,Listed: Yesterday,/address/auckland/freemans-bay/28-georgina-street/grjvN,Freemans Bay
"5A Matai Road, Greenlane",660.0,2,1,Listed: Yesterday,/address/auckland/greenlane/5a-matai-road/aaOq5,Greenlane
"26B Waiohua Road, Greenlane",850.0,3,2,Listed: Yesterday,/address/auckland/greenlane/26b-waiohua-road/WMwoy,Greenlane
"1/173A Portland Road, Remuera",650.0,2,1,Listed: Yesterday,/address/auckland/remuera/1-173a-portland-road/8EVv2K,Remuera
"303/70 Daldy Street, City Centre",1350.0,2,1,Listed: Yesterday,/address/auckland/auckland-central/303-70-daldy-street/JB48q,City Centre
"2/60 Oakdale Road, Mount Roskill",590.0,2,1,Listed: 13 Oct 2023,/address/auckland/mount-roskill/2-60-oakdale-road/Dr1nN,Mount Roskill
"6c Tahora Ave, Remuera",880.0,3,2,Listed: 13 Oct 2023,/address/auckland/remuera/3-6-tahora-avenue/7aepq,Remuera
"277 Meola Road, Point Chevalier",800.0,3,1,Listed: 13 Oct 2023,/address/auckland/point-chevalier/277-meola-road/Laxoq,Point Chevalier
"2/19 Sudeley Street, Orakei",895.0,3,2,Listed: 13 Oct 2023,/address/auckland/orakei/2-19-sudeley-street/gJY52,Orakei
"80 Benson Road, Remuera",1350.0,4,2,Listed: 13 Oct 2023,/address/auckland/remuera/80-benson-road/JbGgL,Remuera
"8 Andes Place, Lynfield",1400.0,5,3,Listed: 13 Oct 2023,/address/auckland/lynfield/8-andes-place/alroL,Lynfield
"32 Hadlow Terrace (406 Great North Road), Grey Lynn",750.0,2,1,Listed: 13 Oct 2023,/address/auckland/grey-lynn/32-hadlow-terrace/xMN4br,Grey Lynn
"515/125 Customs street West, City Centre",700.0,1,1,Listed: 13 Oct 2023,/address/auckland/auckland-central/515-125-customs-street-west/GWn7,City Centre
"1/7B Hoheria Road, Onehunga",685.0,3,1,Listed: 13 Oct 2023,/address/auckland/onehunga/1-7b-hoheria-road/ABLkoK,Onehunga
"31A Dundee Pl--Viewing--On Sun 15th Oct at 11:20-11:40am, Blockhouse Bay",550.0,2,1,Listed: 13 Oct 2023,/address/auckland-city/blockhouse-bay/0-dundee-pl--viewing--on-sun-15th-oct-at-11-20-11-40am/BD00p7,Blockhouse Bay
"1/30 Bollard Avenue, New Windsor",550.0,2,1,Listed: 13 Oct 2023,/address/auckland/new-windsor/1-30-bollard-avenue/5jaGK,New Windsor
"1A/11 George St, Newmarket",1000.0,4,4,Listed: 13 Oct 2023,/address/auckland/newmarket/1a-11-george-street/NzLl5,Newmarket
