Area_Description,2018.0,"Abduction, Harassment and Other Related Offences Against a Person",Acts Intended to Cause Injury,"Robbery, Extortion and Related Offences",Sexual Assault and Related Offences,Theft and Related Offences,"Unlawful Entry With Intent/Burglary, Break and Enter"
Akoranga,405.0,0.0,0.0,0.0,0.0,0.0,0.0
Albany,2187.0,0.0,0.0,0.0,0.0,0.0,0.0
Albany Heights,1053.0,0.0,0.0,0.0,0.0,0.0,0.0
Alfriston,1059.0,0.0,0.0,0.0,0.0,0.0,0.0
Algies Bay-Scotts Landing,498.0,0.0,0.0,0.0,0.0,0.0,0.0
Anselmi Ridge,855.0,0.0,0.0,0.0,0.0,0.0,0.0
Anzac Avenue,1458.0,0.0,0.0,0.0,0.0,0.0,0.0
Aorere,1962.0,0.0,0.0,0.0,0.0,0.0,0.0
Ararimu,675.0,0.0,0.0,0.0,0.0,0.0,0.0
Ardmore,426.0,0.0,8.0,1.0,1.0,58.0,27.0
Army Bay,561.0,0.0,5.0,0.0,0.0,16.0,6.0
Auckland Airport,150.0,0.0,0.0,0.0,0.0,0.0,0.0
Auckland-University,63.0,0.0,0.0,0.0,0.0,0.0,0.0
Avondale,4776.0,0.0,0.0,0.0,0.0,0.0,0.0
Avondale Rosebank,1209.0,0.0,0.0,0.0,0.0,0.0,0.0
Awaruku,1428.0,0.0,2.0,1.0,0.0,16.0,8.0
Awhitu,1107.0,0.0,11.0,1.0,0.0,11.0,9.0
Balmoral,1050.0,0.0,16.0,4.0,1.0,544.0,66.0
Barrier Islands,531.0,0.0,0.0,0.0,0.0,0.0,0.0
Baverstock,1014.0,0.0,0.0,0.0,0.0,0.0,0.0
Bays Waiheke Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bayswater,1038.0,0.0,2.0,0.0,0.0,25.0,5.0
Bayview,2841.0,0.0,0.0,0.0,0.0,0.0,0.0
Beach Haven,3549.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmont,1056.0,0.0,0.0,0.0,0.0,0.0,0.0
Birdwood,207.0,0.0,0.0,0.0,0.0,20.0,10.0
Birkdale,2856.0,0.0,15.0,2.0,1.0,42.0,23.0
Birkenhead,3780.0,0.0,0.0,0.0,0.0,0.0,0.0
Blockhouse Bay,3987.0,0.0,0.0,0.0,0.0,0.0,0.0
Bombay Hills,669.0,0.0,0.0,0.0,0.0,0.0,0.0
Botany,2286.0,0.0,0.0,0.0,0.0,0.0,0.0
Botany Downs,1680.0,0.0,0.0,0.0,0.0,0.0,0.0
Botany Junction,69.0,0.0,0.0,0.0,0.0,0.0,0.0
Browns Bay,3417.0,0.0,0.0,0.0,0.0,0.0,0.0
Buckland,384.0,0.0,1.0,0.0,0.0,3.0,4.0
Bucklands Beach,2919.0,0.0,5.0,2.0,0.0,25.0,19.0
Burbank,771.0,0.0,10.0,5.0,0.0,51.0,28.0
Burswood,549.0,0.0,12.0,2.0,0.0,157.0,12.0
Campbells Bay,957.0,0.0,0.0,3.0,0.0,30.0,13.0
Cape Hill,480.0,0.0,0.0,0.0,0.0,0.0,0.0
Cape Rodney,1275.0,0.0,3.0,0.0,1.0,20.0,18.0
Castor Bay,1563.0,0.0,3.0,0.0,0.0,15.0,17.0
Chapel Downs,855.0,0.0,0.0,0.0,0.0,0.0,0.0
Chatswood,1134.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheltenham,789.0,0.0,0.0,0.0,0.0,0.0,0.0
Clarks Beach,540.0,0.0,0.0,0.0,0.0,0.0,0.0
Clendon Park,1986.0,0.0,0.0,0.0,0.0,0.0,0.0
